  likeliklyhood    time   words   iteration
      -78137.72    8.80      21         399
      -78148.45    8.84      18         400
      -78129.34    8.86      18         401
      -78142.01    8.81      15         402
      -78162.23    8.78      13         403
      -78164.47    8.73      14         404
      -78178.41    8.74      14         405
      -78190.63    8.83      15         406
      -78179.92    8.87      14         407
      -78198.39    8.78      14         408
      -78197.22    8.70      13         409
      -78220.66    8.84      16         410
      -78209.95    8.82      17         411
      -78170.47    8.84      14         412
      -78173.88    8.84      17         413
      -78142.20    8.73      21         414
      -78117.19    8.78      22         415
      -78103.00    8.80      25         416
      -78112.60    8.75      25         417
      -78087.44    8.67      24         418
      -78051.74    8.71      24         419
      -78042.57    8.68      26         420
      -77988.71    8.88      26         421
      -77994.34    8.76      19         422
      -77972.69    8.92      16         423
      -77967.31    8.70      25         424
      -77906.42    8.66      16         425
      -77902.53    8.77      20         426
      -77878.05    8.71      21         427
      -77862.61    8.73      17         428
      -77855.59    8.77      10         429
      -77808.02    8.82      15         430
      -77802.65    8.61      18         431
      -77781.87    8.61      17         432
      -77761.10    8.61      24         433
      -77734.19    8.64      24         434
      -77709.53    8.63      27         435
      -77677.27    8.56      28         436
      -77643.51    8.64      26         437
      -77620.67    8.88      24         438
      -77592.59    8.55      19         439
      -77581.05    8.50      25         440
      -77656.43    8.51      22         441
      -77687.07    8.62      22         442
      -77693.46    8.51      23         443
      -77707.68    8.55      22         444
      -77660.22    8.63      22         445
      -77615.23    9.05      20         446
      -77623.88    8.38      22         447
      -77603.18    8.37      22         448
      -77565.69    8.36      24         449
      -77543.76    8.24      21         450
      -77511.20    8.20      20         451
      -77485.03    8.29      20         452
      -77460.08    8.21      19         453
      -77441.09    8.31      19         454
      -77419.73    8.31      17         455
      -77386.31    8.23      20         456
      -77375.95    8.23      21         457
      -77368.53    8.20      20         458
      -77367.86    8.28      21         459
      -77348.94    8.23      18         460
      -77339.38    8.23      18         461
      -77374.47    8.29      19         462
      -77368.17    8.22      18         463
      -77341.43    8.23      21         464
      -77331.56    8.21      21         465
      -77353.38    8.27      19         466
      -77341.00    8.26      22         467
      -77337.66    8.23      17         468
      -77353.55    8.21      18         469
      -77339.47    8.61      20         470
      -77322.66    8.18      20         471
      -77348.50    8.27      24         472
      -77330.40    8.19      24         473
      -77350.73    8.30      22         474
      -77348.29    8.23      20         475
      -77359.48    8.12      19         476
      -77368.89    8.24      24         477
      -77351.11    8.33      19         478
      -77365.77    8.15      22         479
      -77366.80    8.14      21         480
      -77380.61    8.23      20         481
      -77399.41    8.28      21         482
      -77394.41    8.24      22         483
      -77399.14    8.20      19         484
      -77406.40    8.20      21         485
      -77389.94    8.14      20         486
      -77401.91    8.20      20         487
      -77393.20    8.16      23         488
      -77375.68    8.21      22         489
      -77395.18    8.21      26         490
      -77374.05    8.08      23         491
      -77382.68    8.06      22         492
      -77367.49    8.13      22         493
      -77371.19    8.19      25         494
      -77373.53    8.51      22         495
      -77377.71    8.07      23         496
      -77378.65    8.14      26         497
      -77371.49    8.28      26         498
      -77380.99    8.18      25         499
